diseaseId,diseaseName,drugId,smiles,prefName,targets
EFO_0000095,chronic lymphocytic leukemia,CHEMBL1096882,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,FLUDARABINE PHOSPHATE,ENSG00000014138|ENSG00000062822|ENSG00000077514|ENSG00000100479|ENSG00000101868|ENSG00000106628|ENSG00000146143|ENSG00000148229|ENSG00000167325|ENSG00000175482|ENSG00000177084|ENSG00000198056
EFO_0000095,chronic lymphocytic leukemia,CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,IBRUTINIB,ENSG00000010671
EFO_0000095,chronic lymphocytic leukemia,CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,IDELALISIB,ENSG00000171608
EFO_0000095,chronic lymphocytic leukemia,CHEMBL3137309,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,VENETOCLAX,ENSG00000171791
EFO_0000095,chronic lymphocytic leukemia,CHEMBL3707348,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,ACALABRUTINIB,ENSG00000010671
EFO_0000095,chronic lymphocytic leukemia,CHEMBL4594293,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12.O=C(O)/C=C\C(=O)O,ACALABRUTINIB MALEATE,ENSG00000010671
EFO_0000095,chronic lymphocytic leukemia,CHEMBL5315125,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1.O,DUVELISIB MONOHYDRATE,ENSG00000105851|ENSG00000171608
EFO_0000096,neoplasm of mature B-cells,CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,IDELALISIB,ENSG00000171608
EFO_0000096,neoplasm of mature B-cells,CHEMBL3545068,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21.Cl.Cl,COPANLISIB HYDROCHLORIDE,ENSG00000121879|ENSG00000171608
EFO_0000096,neoplasm of mature B-cells,CHEMBL5315125,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1.O,DUVELISIB MONOHYDRATE,ENSG00000105851|ENSG00000171608
EFO_0000183,Hodgkins lymphoma,CHEMBL359744,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,DOXORUBICIN HYDROCHLORIDE,ENSG00000131747
EFO_0000183,Hodgkins lymphoma,CHEMBL378544,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,VINBLASTINE SULFATE,ENSG00000101162|ENSG00000104833|ENSG00000137267|ENSG00000137285|ENSG00000176014|ENSG00000188229|ENSG00000196230|ENSG00000258947|ENSG00000261456
EFO_0000183,Hodgkins lymphoma,CHEMBL513,O=NN(CCCl)C(=O)NCCCl,CARMUSTINE,ENSG00000104687
EFO_0000196,metastatic prostate cancer,CHEMBL1082407,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,ENZALUTAMIDE,ENSG00000169083
EFO_0000196,metastatic prostate cancer,CHEMBL271227,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,ABIRATERONE ACETATE,ENSG00000148795
EFO_0000198,myelodysplastic syndrome,CHEMBL1201129,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,DECITABINE,ENSG00000119772|ENSG00000130816
EFO_0000198,myelodysplastic syndrome,CHEMBL1489,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,AZACITIDINE,ENSG00000119772|ENSG00000130816
EFO_0000198,myelodysplastic syndrome,CHEMBL3237547,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,CEDAZURIDINE,ENSG00000158825
EFO_0000198,myelodysplastic syndrome,CHEMBL848,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,LENALIDOMIDE,ENSG00000100387|ENSG00000113851|ENSG00000139842|ENSG00000167986
EFO_0000211,unspecified peripheral T-cell lymphoma,CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,PRALATREXATE,ENSG00000228716
EFO_0000211,unspecified peripheral T-cell lymphoma,CHEMBL408513,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,BELINOSTAT,ENSG00000048052|ENSG00000061273|ENSG00000068024|ENSG00000094631|ENSG00000100429|ENSG00000108840|ENSG00000116478|ENSG00000147099|ENSG00000163517|ENSG00000171720|ENSG00000196591
EFO_0000220,acute lymphoblastic leukemia,CHEMBL1200751,O.S=c1[nH]cnc2nc[nH]c12,MERCAPTOPURINE,ENSG00000128059
EFO_0000220,acute lymphoblastic leukemia,CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,DASATINIB,ENSG00000000938|ENSG00000010810|ENSG00000097007|ENSG00000101336|ENSG00000111816|ENSG00000113721|ENSG00000125508|ENSG00000136573|ENSG00000142627|ENSG00000157404|ENSG00000176105|ENSG00000182866|ENSG00000186716|ENSG00000197122|ENSG00000254087
EFO_0000220,acute lymphoblastic leukemia,CHEMBL1750,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,CLOFARABINE,ENSG00000014138|ENSG00000062822|ENSG00000077514|ENSG00000100479|ENSG00000101868|ENSG00000106628|ENSG00000146143|ENSG00000148229|ENSG00000167325|ENSG00000175482|ENSG00000177084|ENSG00000198056
EFO_0000220,acute lymphoblastic leukemia,CHEMBL18442,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,PLERIXAFOR,ENSG00000121966
EFO_0000220,acute lymphoblastic leukemia,CHEMBL2105708,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12.Cl,PONATINIB HYDROCHLORIDE,ENSG00000097007|ENSG00000186716
EFO_0000220,acute lymphoblastic leukemia,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,METHOTREXATE,ENSG00000228716
EFO_0000220,acute lymphoblastic leukemia,CHEMBL803,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE,ENSG00000014138|ENSG00000062822|ENSG00000077514|ENSG00000100479|ENSG00000101868|ENSG00000106628|ENSG00000146143|ENSG00000148229|ENSG00000175482|ENSG00000177084|ENSG00000198056
EFO_0000222,acute myeloid leukemia,CHEMBL1200976,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,IDARUBICIN HYDROCHLORIDE,ENSG00000131747
EFO_0000222,acute myeloid leukemia,CHEMBL1489,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,AZACITIDINE,ENSG00000119772|ENSG00000130816
EFO_0000222,acute myeloid leukemia,CHEMBL178,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,DAUNORUBICIN,ENSG00000131747
EFO_0000222,acute myeloid leukemia,CHEMBL3301603,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.O=C(O)/C=C/C(=O)O,GILTERITINIB FUMARATE,ENSG00000122025|ENSG00000167601
EFO_0000222,acute myeloid leukemia,CHEMBL3989931,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1.CS(=O)(=O)O,ENASIDENIB MESYLATE,ENSG00000182054
EFO_0000222,acute myeloid leukemia,CHEMBL3989958,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,IVOSIDENIB,ENSG00000138413
EFO_0000222,acute myeloid leukemia,CHEMBL4297534,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1.O=C(O)/C=C\C(=O)O,GLASDEGIB MALEATE,ENSG00000128602
EFO_0000222,acute myeloid leukemia,CHEMBL4297610,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,OLUTASIDENIB,ENSG00000138413
EFO_0000222,acute myeloid leukemia,CHEMBL608533,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN,ENSG00000027075|ENSG00000065675|ENSG00000067606|ENSG00000113721|ENSG00000115825|ENSG00000122025|ENSG00000126583|ENSG00000128052|ENSG00000134853|ENSG00000154229|ENSG00000157404|ENSG00000163558|ENSG00000163932|ENSG00000166501|ENSG00000171132|ENSG00000184304
EFO_0000222,acute myeloid leukemia,CHEMBL803,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE,ENSG00000014138|ENSG00000062822|ENSG00000077514|ENSG00000100479|ENSG00000101868|ENSG00000106628|ENSG00000146143|ENSG00000148229|ENSG00000175482|ENSG00000177084|ENSG00000198056
EFO_0000228,adenocarcinoma,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,FLUOROURACIL,ENSG00000176890
EFO_0000228,adenocarcinoma,CHEMBL3545252,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,DOCETAXEL,ENSG00000101162|ENSG00000104833|ENSG00000137267|ENSG00000137285|ENSG00000176014|ENSG00000188229|ENSG00000196230|ENSG00000258947|ENSG00000261456
EFO_0000228,adenocarcinoma,CHEMBL3989514,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl.O.O.O,IRINOTECAN HYDROCHLORIDE,ENSG00000198900
EFO_0000228,adenocarcinoma,CHEMBL3989962,NC(CO)(CO)CO.NC(CO)(CO)CO.Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1.O.O,PEMETREXED TROMETHAMINE,ENSG00000159131|ENSG00000228716
EFO_0000232,adenoma,CHEMBL1200503,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,BROMOCRIPTINE MESYLATE,ENSG00000069696|ENSG00000149295|ENSG00000151577
EFO_0000232,adenoma,CHEMBL3244648,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1.[Na+].[Na+],METHOTREXATE SODIUM,ENSG00000228716
EFO_0000239,adrenal gland pheochromocytoma,CHEMBL1200787,CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl,PHENOXYBENZAMINE HYDROCHLORIDE,ENSG00000120907|ENSG00000150594|ENSG00000170214|ENSG00000171873|ENSG00000184160|ENSG00000274286
EFO_0000239,adrenal gland pheochromocytoma,CHEMBL1200862,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,METYROSINE,ENSG00000180176
EFO_0000239,adrenal gland pheochromocytoma,CHEMBL1200873,CS(=O)(=O)O.Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,PHENTOLAMINE MESYLATE,ENSG00000120907|ENSG00000150594|ENSG00000170214|ENSG00000171873|ENSG00000184160|ENSG00000274286
EFO_0000239,adrenal gland pheochromocytoma,CHEMBL1615779,N=C(N)NCc1cccc([131I])c1,IOBENGUANE I 131,ENSG00000103546
