drugId,targetId,smiles,prefName
CHEMBL1000,ENSG00000196639,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CETIRIZINE
CHEMBL100116,ENSG00000147955,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,PENTAZOCINE
CHEMBL1008,ENSG00000006116,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000006283,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000007402,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000067191,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000075429,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000075461,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000081248,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000100346,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000102001,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000105605,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000108878,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000130433,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000141837,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000142408,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000148408,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000151062,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000151067,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000153956,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000157388,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000157445,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000165995,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000166862,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000167535,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000182389,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
