drugId,targetId,smiles,prefName
CHEMBL1000,ENSG00000196639,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CETIRIZINE
CHEMBL1008,ENSG00000151067,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL1008,ENSG00000157388,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,BEPRIDIL
CHEMBL101,ENSG00000073756,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,PHENYLBUTAZONE
CHEMBL1017,ENSG00000144891,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,TELMISARTAN
CHEMBL1020,ENSG00000073756,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,TOLMETIN
CHEMBL1046,ENSG00000104368,NCCCCCC(=O)O,AMINOCAPROIC ACID
CHEMBL1051,ENSG00000122420,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,LATANOPROST
CHEMBL1064,ENSG00000113161,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,SIMVASTATIN
CHEMBL1068,ENSG00000169432,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,OXCARBAZEPINE
CHEMBL107,ENSG00000137267,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COLCHICINE
CHEMBL107,ENSG00000176014,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COLCHICINE
CHEMBL107,ENSG00000258947,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COLCHICINE
CHEMBL1070,ENSG00000073756,COc1ccc2cc(CCC(C)=O)ccc2c1,NABUMETONE
CHEMBL1071,ENSG00000073756,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,OXAPROZIN
CHEMBL1073,ENSG00000187486,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,GLIPIZIDE
CHEMBL1075,ENSG00000169432,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,MORICIZINE
CHEMBL1077,ENSG00000073756,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,BROMFENAC
CHEMBL108,ENSG00000169432,NC(=O)N1c2ccccc2C=Cc2ccccc21,CARBAMAZEPINE
CHEMBL1082407,ENSG00000169083,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,ENZALUTAMIDE
CHEMBL1089,ENSG00000069535,NNCCc1ccccc1,PHENELZINE
CHEMBL109,ENSG00000112294,CCCC(CCC)C(=O)O,VALPROIC ACID
CHEMBL1094,ENSG00000198785,NC(=O)OCC(COC(N)=O)c1ccccc1,FELBAMATE
CHEMBL1095,ENSG00000169432,CCN1C(=O)NC(c2ccccc2)C1=O,ETHOTOIN
CHEMBL1096,ENSG00000113448,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,AMLEXANOX
CHEMBL1101,ENSG00000168539,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,BIPERIDEN
CHEMBL1117,ENSG00000131747,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,IDARUBICIN
CHEMBL112,ENSG00000073756,CC(=O)Nc1ccc(O)cc1,ACETAMINOPHEN
CHEMBL112,ENSG00000117480,CC(=O)Nc1ccc(O)cc1,ACETAMINOPHEN
CHEMBL1123,ENSG00000133019,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,DICYCLOMINE
CHEMBL1123,ENSG00000168539,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,DICYCLOMINE
CHEMBL113,ENSG00000128271,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CAFFEINE
CHEMBL113,ENSG00000170425,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CAFFEINE
CHEMBL1131,ENSG00000077092,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN
CHEMBL1131,ENSG00000131759,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN
CHEMBL1131,ENSG00000143171,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN
CHEMBL1131,ENSG00000172819,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN
CHEMBL1131,ENSG00000186350,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN
CHEMBL1144,ENSG00000113161,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,PRAVASTATIN
CHEMBL1159650,ENSG00000113580,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CLOBETASOL PROPIONATE
CHEMBL1161,ENSG00000113580,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,MOMETASONE FUROATE
CHEMBL1172,ENSG00000196639,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,DESLORATADINE
CHEMBL1173055,ENSG00000143799,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,RUCAPARIB
CHEMBL118,ENSG00000073756,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CELECOXIB
CHEMBL1189432,ENSG00000196639,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,OLOPATADINE
CHEMBL1193,ENSG00000196639,CN(C)CCC(c1ccccc1)c1ccccn1,PHENIRAMINE
CHEMBL12,ENSG00000022355,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,DIAZEPAM
CHEMBL12,ENSG00000163285,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,DIAZEPAM
CHEMBL12,ENSG00000186297,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,DIAZEPAM
CHEMBL1200,ENSG00000169432,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,BENOXINATE
CHEMBL1200386,ENSG00000113580,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PREDNICARBATE
CHEMBL1200500,ENSG00000113580,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,BECLOMETHASONE DIPROPIONATE
CHEMBL1200545,ENSG00000113580,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,DIFLORASONE DIACETATE
CHEMBL1200604,ENSG00000133019,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,TROPICAMIDE
CHEMBL1200617,ENSG00000113580,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,RIMEXOLONE
