pert_id,pert_iname,pert_type
TRCN0000052583,ADPGK,trt_sh
TRCN0000052584,ADPGK,trt_sh
TRCN0000052585,ADPGK,trt_sh
TRCN0000052586,ADPGK,trt_sh
TRCN0000052587,ADPGK,trt_sh
TRCN0000196695,ADPGK,trt_sh
TRCN0000196930,ADPGK,trt_sh
TRCN0000197159,ADPGK,trt_sh
TRCN0000219782,ADPGK,trt_sh
TRCN0000219783,ADPGK,trt_sh
TRCN0000006029,AK3,trt_sh
TRCN0000006030,AK3,trt_sh
TRCN0000006031,AK3,trt_sh
TRCN0000231930,AK3,trt_sh
TRCN0000231931,AK3,trt_sh
TRCN0000231932,AK3,trt_sh
TRCN0000231933,AK3,trt_sh
TRCN0000257382,AK3,trt_sh
TRCN0000356497,AK3,trt_sh
TRCN0000356570,AK3,trt_sh
TRCN0000356571,AK3,trt_sh
TRCN0000036554,AKR1C2,trt_sh
TRCN0000036555,AKR1C2,trt_sh
TRCN0000036556,AKR1C2,trt_sh
TRCN0000036557,AKR1C2,trt_sh
TRCN0000036558,AKR1C2,trt_sh
TRCN0000337448,AKR1C2,trt_sh
TRCN0000338701,AKR1C2,trt_sh
TRCN0000338702,AKR1C2,trt_sh
TRCN0000338769,AKR1C2,trt_sh
TRCN0000338771,AKR1C2,trt_sh
TRCN0000338772,AKR1C2,trt_sh
TRCN0000027156,ALDH9A1,trt_sh
TRCN0000027167,ALDH9A1,trt_sh
TRCN0000027180,ALDH9A1,trt_sh
TRCN0000218565,ALDH9A1,trt_sh
TRCN0000230573,ALDH9A1,trt_sh
TRCN0000230574,ALDH9A1,trt_sh
TRCN0000230575,ALDH9A1,trt_sh
TRCN0000257105,ALDH9A1,trt_sh
TRCN0000033456,BAD,trt_sh
TRCN0000017933,CDCA7L,trt_sh
TRCN0000017934,CDCA7L,trt_sh
TRCN0000017935,CDCA7L,trt_sh
TRCN0000017936,CDCA7L,trt_sh
TRCN0000017937,CDCA7L,trt_sh
TRCN0000364569,CDCA7L,trt_sh
TRCN0000364570,CDCA7L,trt_sh
TRCN0000364645,CDCA7L,trt_sh
TRCN0000364646,CDCA7L,trt_sh
TRCN0000364647,CDCA7L,trt_sh
TRCN0000369291,CDCA7L,trt_sh
TRCN0000369292,CDCA7L,trt_sh
TRCN0000369366,CDCA7L,trt_sh
TRCN0000007229,CFLAR,trt_sh
TRCN0000122300,CHMP2A,trt_sh
TRCN0000122479,CHMP2A,trt_sh
TRCN0000122604,CHMP2A,trt_sh
TRCN0000138966,CHMP2A,trt_sh
TRCN0000139572,CHMP2A,trt_sh
TRCN0000140662,CHMP2A,trt_sh
TRCN0000140813,CHMP2A,trt_sh
TRCN0000143644,CHMP2A,trt_sh
TRCN0000143825,CHMP2A,trt_sh
TRCN0000010329,EGFR,trt_sh
TRCN0000039634,EGFR,trt_sh
TRCN0000039635,EGFR,trt_sh
TRCN0000121070,EGFR,trt_sh
TRCN0000121071,EGFR,trt_sh
TRCN0000121202,EGFR,trt_sh
TRCN0000121204,EGFR,trt_sh
TRCN0000121329,EGFR,trt_sh
TRCN0000121331,EGFR,trt_sh
TRCN0000195303,EGFR,trt_sh
TRCN0000199174,EGFR,trt_sh
TRCN0000295968,EGFR,trt_sh
TRCN0000295969,EGFR,trt_sh
TRCN0000001399,EIF2AK3,trt_sh
TRCN0000001400,EIF2AK3,trt_sh
TRCN0000001401,EIF2AK3,trt_sh
TRCN0000001403,EIF2AK3,trt_sh
TRCN0000195162,EIF2AK3,trt_sh
TRCN0000195610,EIF2AK3,trt_sh
TRCN0000196610,EIF2AK3,trt_sh
TRCN0000197197,EIF2AK3,trt_sh
TRCN0000262373,EIF2AK3,trt_sh
TRCN0000262375,EIF2AK3,trt_sh
TRCN0000262376,EIF2AK3,trt_sh
TRCN0000262379,EIF2AK3,trt_sh
TRCN0000139625,FAM104A,trt_sh
TRCN0000139989,FAM104A,trt_sh
TRCN0000140084,FAM104A,trt_sh
TRCN0000140299,FAM104A,trt_sh
TRCN0000141446,FAM104A,trt_sh
TRCN0000141599,FAM104A,trt_sh
TRCN0000141905,FAM104A,trt_sh
TRCN0000141947,FAM104A,trt_sh
TRCN0000144351,FAM104A,trt_sh
TRCN0000144914,FAM104A,trt_sh
TRCN0000006168,GNE,trt_sh
TRCN0000006169,GNE,trt_sh
TRCN0000006172,GNE,trt_sh
TRCN0000195218,GNE,trt_sh
TRCN0000195274,GNE,trt_sh
TRCN0000195334,GNE,trt_sh
TRCN0000196714,GNE,trt_sh
