inst_id,pert_id,split
CPC004_A375_6H_X1_B3_DUO52HI53LO:G20,BRD-A80017228,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:G20,BRD-A80017228,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:G20,BRD-A80017228,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H20,BRD-A68723818,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H20,BRD-A68723818,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H20,BRD-A68723818,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:C09,BRD-K89997465,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:C09,BRD-K89997465,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:C09,BRD-K89997465,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:C11,BRD-A26384407,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:C11,BRD-A26384407,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:C11,BRD-A26384407,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:H11,BRD-K67017579,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:H11,BRD-K67017579,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:H11,BRD-K67017579,train
CPC004_A375_6H_X1_B3_DUO52HI53LO:C13,BRD-K30240666,train
CPC004_A375_6H_X2_B3_DUO52HI53LO:C13,BRD-K30240666,train
CPC004_A375_6H_X3_B3_DUO52HI53LO:C13,BRD-K30240666,train
CPC005_A375_6H_X1_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A375_6H_X2_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A375_6H_X3_B3_DUO52HI53LO:J21,BRD-K56429665,test
CPC005_A375_6H_X1_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A375_6H_X2_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A375_6H_X3_B3_DUO52HI53LO:F24,BRD-A47598013,test
CPC005_A375_6H_X1_B3_DUO52HI53LO:O06,BRD-K17294426,train
CPC005_A375_6H_X2_B3_DUO52HI53LO:O06,BRD-K17294426,train
