inst_id,pert_id,split
CYT001_A375_4H_X1_B7_DUO52HI53LO:C03,CMAP-CYT-C0663,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:C03,CMAP-CYT-C0663,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:C03,CMAP-CYT-C0663,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:B04,CMAP-CYT-A2327,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:B04,CMAP-CYT-A2327,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:B04,CMAP-CYT-A2327,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:C05,CMAP-CYT-G0516,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:C05,CMAP-CYT-G0516,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:C05,CMAP-CYT-G0516,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:C04,CMAP-CYT-SRP4463,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:C04,CMAP-CYT-SRP4463,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:C04,CMAP-CYT-SRP4463,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:C17,CMAP-CYT-L1567,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:C17,CMAP-CYT-L1567,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:C17,CMAP-CYT-L1567,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:C06,CMAP-CYT-SRP4760,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:C06,CMAP-CYT-SRP4760,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:C06,CMAP-CYT-SRP4760,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:K17,CMAP-CYT-V9879,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:K17,CMAP-CYT-V9879,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:K17,CMAP-CYT-V9879,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:C23,CMAP-CYT-B3795,test
CYT001_A375_4H_X2_B7_DUO52HI53LO:C23,CMAP-CYT-B3795,test
CYT001_A375_4H_X3_B7_DUO52HI53LO:C23,CMAP-CYT-B3795,test
CYT001_A375_4H_X1_B7_DUO52HI53LO:C08,CMAP-CYT-SRP4581,train
CYT001_A375_4H_X2_B7_DUO52HI53LO:C08,CMAP-CYT-SRP4581,train
CYT001_A375_4H_X3_B7_DUO52HI53LO:C08,CMAP-CYT-SRP4581,train
CYT001_A375_4H_X1_B7_DUO52HI53LO:C12,CMAP-CYT-B3555,train
