inst_id,pert_id,split
HSF006_HEK293T_48H_X1_B7_DUO52HI53LO:A17,CMAP-HSF-ABL1,train
HSF006_HEK293T_48H_X1_B7_DUO52HI53LO:A18,CMAP-HSF-ABL1,train
HSF006_HEK293T_48H_X1_B7_DUO52HI53LO:B17,CMAP-HSF-ABL1,train
HSF006_HEK293T_48H_X1_B7_DUO52HI53LO:B18,CMAP-HSF-ABL1,train
HSF027_HEK293T_48H_X1_B7_DUO52HI53LO:K17,CMAP-HSF-ABTB1,train
HSF027_HEK293T_48H_X1_B7_DUO52HI53LO:K18,CMAP-HSF-ABTB1,train
HSF027_HEK293T_48H_X1_B7_DUO52HI53LO:L17,CMAP-HSF-ABTB1,train
HSF027_HEK293T_48H_X1_B7_DUO52HI53LO:L18,CMAP-HSF-ABTB1,train
HSF004_HEK293T_48H_X1_B7_DUO52HI53LO:K07,CMAP-HSF-ACVR1,train
HSF004_HEK293T_48H_X1_B7_DUO52HI53LO:K08,CMAP-HSF-ACVR1,train
HSF004_HEK293T_48H_X1_B7_DUO52HI53LO:L07,CMAP-HSF-ACVR1,train
HSF004_HEK293T_48H_X1_B7_DUO52HI53LO:L08,CMAP-HSF-ACVR1,train
HSF001_HEK293T_48H_X1_B7_DUO52HI53LO:M05,CMAP-HSF-ACVR1B,train
HSF001_HEK293T_48H_X1_B7_DUO52HI53LO:M06,CMAP-HSF-ACVR1B,train
HSF001_HEK293T_48H_X1_B7_DUO52HI53LO:N05,CMAP-HSF-ACVR1B,train
HSF001_HEK293T_48H_X1_B7_DUO52HI53LO:N06,CMAP-HSF-ACVR1B,train
HSF002_HEK293T_48H_X1_B7_DUO52HI53LO:C04,CMAP-HSF-ACVR2B,train
HSF002_HEK293T_48H_X1_B7_DUO52HI53LO:D03,CMAP-HSF-ACVR2B,train
HSF002_HEK293T_48H_X1_B7_DUO52HI53LO:D04,CMAP-HSF-ACVR2B,train
HSF012_HEK293T_48H_X1_B7_DUO52HI53LO:C23,CMAP-HSF-ACY1,train
HSF012_HEK293T_48H_X1_B7_DUO52HI53LO:C24,CMAP-HSF-ACY1,train
HSF012_HEK293T_48H_X1_B7_DUO52HI53LO:D23,CMAP-HSF-ACY1,train
HSF012_HEK293T_48H_X1_B7_DUO52HI53LO:D24,CMAP-HSF-ACY1,train
HSF020_HEK293T_48H_X1_B7_DUO52HI53LO:M01,CMAP-HSF-AFF1,test
HSF020_HEK293T_48H_X1_B7_DUO52HI53LO:M02,CMAP-HSF-AFF1,test
HSF020_HEK293T_48H_X1_B7_DUO52HI53LO:N01,CMAP-HSF-AFF1,test
HSF020_HEK293T_48H_X1_B7_DUO52HI53LO:N02,CMAP-HSF-AFF1,test
